REF_AREA,Reference area,TIME_PERIOD,TOTAL_STUDENTS
POL,Poland,2022,26124
AUT,Austria,2022,25865
FRA,France,2022,112209
ROU,Romania,2022,30888
EST,Estonia,2022,3207
DNK,Denmark,2022,5730
CZE,Czechia,2022,12147
CRI,Costa Rica,2022,3449
COL,Colombia,2022,40907
CHL,Chile,2022,12564
PRT,Portugal,2022,18269
BEL,Belgium,2022,18508
NOR,Norway,2022,15008
NZL,New Zealand,2022,4307
NLD,Netherlands,2022,17637
MEX,Mexico,2022,34843
LUX,Luxembourg,2022,13714
LTU,Lithuania,2022,8262
LVA,Latvia,2022,4665
KOR,Korea,2022,82544
JPN,Japan,2022,29579
ITA,Italy,2022,83638
ISR,Israel,2022,12398
IRL,Ireland,2022,17719
ISL,Iceland,2022,2621
HUN,Hungary,2022,14530
GRC,Greece,2022,34900
DEU,Germany,2022,126024
AUS,Australia,2022,11568
FIN,Finland,2022,9399
HRV,Croatia,2022,6466
BGR,Bulgaria,2022,20930
BRA,Brazil,2022,60995
USA,United States,2022,95506
GBR,United Kingdom,2022,36990
TUR,TÃ¼rkiye,2022,49506
CHE,Switzerland,2022,19006
SWE,Sweden,2022,14069
ESP,Spain,2022,48671
SVN,Slovenia,2022,3052
SVK,Slovak Republic,2022,30619
CAN,Canada,2022,48333